Bus Number,Rectangular Form,Polar Form
1,1.0000 + 0.0000j,1.0727 ∠ -0.31°
2,1.0027 + -0.0002j,1.0727 ∠ -0.31°
3,1.0153 + -0.0014j,1.0727 ∠ -0.31°
4,1.0219 + -0.0024j,1.0727 ∠ -0.31°
5,1.0283 + -0.0034j,1.0727 ∠ -0.31°
6,1.0443 + -0.0020j,1.0727 ∠ -0.31°
7,1.0473 + 0.0014j,1.0727 ∠ -0.31°
8,1.0516 + 0.0009j,1.0727 ∠ -0.31°
9,1.0569 + 0.0019j,1.0727 ∠ -0.31°
10,1.0619 + 0.0029j,1.0727 ∠ -0.31°
11,1.0627 + 0.0028j,1.0727 ∠ -0.31°
12,1.0640 + 0.0026j,1.0727 ∠ -0.31°
13,1.0692 + 0.0039j,1.0727 ∠ -0.31°
14,1.0711 + 0.0050j,1.0727 ∠ -0.31°
15,1.0723 + 0.0055j,1.0727 ∠ -0.31°
16,1.0735 + 0.0059j,1.0727 ∠ -0.31°
17,1.0752 + 0.0069j,1.0727 ∠ -0.31°
18,1.0757 + 0.0070j,1.0727 ∠ -0.31°
19,1.0032 + -0.0000j,1.0727 ∠ -0.31°
20,1.0067 + 0.0011j,1.0727 ∠ -0.31°
21,1.0074 + 0.0015j,1.0727 ∠ -0.31°
22,1.0081 + 0.0018j,1.0727 ∠ -0.31°
23,1.0187 + -0.0009j,1.0727 ∠ -0.31°
24,1.0250 + 0.0005j,1.0727 ∠ -0.31°
25,1.0282 + 0.0012j,1.0727 ∠ -0.31°
26,1.0460 + -0.0026j,1.0727 ∠ -0.31°
27,1.0482 + -0.0034j,1.0727 ∠ -0.31°
28,1.0580 + -0.0047j,1.0727 ∠ -0.31°
29,1.0651 + -0.0058j,1.0727 ∠ -0.31°
30,1.0681 + -0.0073j,1.0727 ∠ -0.31°
31,1.0717 + -0.0062j,1.0727 ∠ -0.31°
32,1.0725 + -0.0058j,1.0727 ∠ -0.31°
33,1.0727 + -0.0057j,1.0727 ∠ -0.31°
